title,publisher,name
A platform for large-scale machine learning on web design.,ACM,Arvind Satyanarayan
A platform for large-scale machine learning on web design.,ACM,Maxine Lim
A platform for large-scale machine learning on web design.,ACM,Scott R. Klemmer
EnsembleMatrix: interactive visualization to support machine learning with multiple classifiers.,ACM,Justin Talbot
EnsembleMatrix: interactive visualization to support machine learning with multiple classifiers.,ACM,Bongshin Lee
EnsembleMatrix: interactive visualization to support machine learning with multiple classifiers.,ACM,Ashish Kapoor
EnsembleMatrix: interactive visualization to support machine learning with multiple classifiers.,ACM,Desney S. Tan
Mining officially unrecognized side effects of drugs by combining web search and machine learning.,ACM,Carlo Curino
Mining officially unrecognized side effects of drugs by combining web search and machine learning.,ACM,Yuanyuan Jia
Mining officially unrecognized side effects of drugs by combining web search and machine learning.,ACM,Bruce Lambert
Mining officially unrecognized side effects of drugs by combining web search and machine learning.,ACM,Patricia M. West
Mining officially unrecognized side effects of drugs by combining web search and machine learning.,ACM,Clement T. Yu
PredictionIO: a distributed machine learning server for practical software development.,ACM,Simon Chan
PredictionIO: a distributed machine learning server for practical software development.,ACM,Thomas Stone
PredictionIO: a distributed machine learning server for practical software development.,ACM,Kit Pang Szeto
PredictionIO: a distributed machine learning server for practical software development.,ACM,Ka Hou Chan
Evaluation of a Machine Learning Duplicate Detection Method for Bioinformatics Databases.,ACM,Qingyu Chen
Evaluation of a Machine Learning Duplicate Detection Method for Bioinformatics Databases.,ACM,Justin Zobel
Evaluation of a Machine Learning Duplicate Detection Method for Bioinformatics Databases.,ACM,Karin M. Verspoor
Usability in machine learning at scale with graphlab.,ACM,Carlos Guestrin
Ease the Process of Machine Learning with Dataflow.,ACM,Tianyou Guo
Ease the Process of Machine Learning with Dataflow.,ACM,Jun Xu
Ease the Process of Machine Learning with Dataflow.,ACM,Xiaohui Yan
Ease the Process of Machine Learning with Dataflow.,ACM,Jianpeng Hou
Ease the Process of Machine Learning with Dataflow.,ACM,Ping Li
Ease the Process of Machine Learning with Dataflow.,ACM,Zhaohui Li
Ease the Process of Machine Learning with Dataflow.,ACM,Jiafeng Guo
